rowid,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,body_mass_kg,weight_category
1,Adelie,Torgersen,39.1,18.7,181.0,4750.0,male,2007,4.75,Heavy
2,Adelie,Torgersen,39.5,17.4,186.0,4800.0,female,2007,4.8,Heavy
3,Adelie,Torgersen,40.3,18.0,195.0,4250.0,female,2007,4.25,Heavy
4,Adelie,Torgersen, , , ,4201.754385964912, ,2007,4.201754385964912,Heavy
5,Adelie,Torgersen,36.7,19.3,193.0,4450.0,female,2007,4.45,Heavy
6,Adelie,Torgersen,39.3,20.6,190.0,4650.0,male,2007,4.65,Heavy
7,Adelie,Torgersen,38.9,17.8,181.0,4625.0,female,2007,4.625,Heavy
8,Adelie,Torgersen,39.2,19.6,195.0,5675.0,male,2007,5.675,Heavy
9,Adelie,Torgersen,34.1,18.1,193.0,4475.0, ,2007,4.475,Heavy
10,Adelie,Torgersen,42.0,20.2,190.0,5250.0, ,2007,5.25,Heavy
11,Adelie,Torgersen,37.8,17.1,186.0,4300.0, ,2007,4.3,Heavy
12,Adelie,Torgersen,37.8,17.3,180.0,4700.0, ,2007,4.7,Heavy
13,Adelie,Torgersen,41.1,17.6,182.0,4200.0,female,2007,4.2,Heavy
14,Adelie,Torgersen,38.6,21.2,191.0,4800.0,male,2007,4.8,Heavy
15,Adelie,Torgersen,34.6,21.1,198.0,5400.0,male,2007,5.4,Heavy
16,Adelie,Torgersen,36.6,17.8,185.0,4700.0,female,2007,4.7,Heavy
17,Adelie,Torgersen,38.7,19.0,195.0,4450.0,female,2007,4.45,Heavy
18,Adelie,Torgersen,42.5,20.7,197.0,5500.0,male,2007,5.5,Heavy
19,Adelie,Torgersen,34.4,18.4,184.0,4325.0,female,2007,4.325,Heavy
20,Adelie,Torgersen,46.0,21.5,194.0,5200.0,male,2007,5.2,Heavy
21,Adelie,Biscoe,37.8,18.3,174.0,4400.0,female,2007,4.4,Heavy
22,Adelie,Biscoe,37.7,18.7,180.0,4600.0,male,2007,4.6,Heavy
23,Adelie,Biscoe,35.9,19.2,189.0,4800.0,female,2007,4.8,Heavy
24,Adelie,Biscoe,38.2,18.1,185.0,4950.0,male,2007,4.95,Heavy
25,Adelie,Biscoe,38.8,17.2,180.0,4800.0,male,2007,4.8,Heavy
26,Adelie,Biscoe,35.3,18.9,187.0,4800.0,female,2007,4.8,Heavy
27,Adelie,Biscoe,40.6,18.6,183.0,4550.0,male,2007,4.55,Heavy
28,Adelie,Biscoe,40.5,17.9,187.0,4200.0,female,2007,4.2,Heavy
29,Adelie,Biscoe,37.9,18.6,172.0,4150.0,female,2007,4.15,Heavy
30,Adelie,Biscoe,40.5,18.9,180.0,4950.0,male,2007,4.95,Heavy
31,Adelie,Dream,39.5,16.7,178.0,4250.0,female,2007,4.25,Heavy
32,Adelie,Dream,37.2,18.1,178.0,4900.0,male,2007,4.9,Heavy
33,Adelie,Dream,39.5,17.8,188.0,4300.0,female,2007,4.3,Heavy
34,Adelie,Dream,40.9,18.9,184.0,4900.0,male,2007,4.9,Heavy
35,Adelie,Dream,36.4,17.0,195.0,4325.0,female,2007,4.325,Heavy
36,Adelie,Dream,39.2,21.1,196.0,5150.0,male,2007,5.15,Heavy
37,Adelie,Dream,38.8,20.0,190.0,4950.0,male,2007,4.95,Heavy
38,Adelie,Dream,42.2,18.5,180.0,4550.0,female,2007,4.55,Heavy
39,Adelie,Dream,37.6,19.3,181.0,4300.0,female,2007,4.3,Heavy
40,Adelie,Dream,39.8,19.1,184.0,5650.0,male,2007,5.65,Heavy
41,Adelie,Dream,36.5,18.0,182.0,4150.0,female,2007,4.15,Heavy
42,Adelie,Dream,40.8,18.4,195.0,4900.0,male,2007,4.9,Heavy
43,Adelie,Dream,36.0,18.5,186.0,4100.0,female,2007,4.1,Heavy
44,Adelie,Dream,44.1,19.7,196.0,5400.0,male,2007,5.4,Heavy
45,Adelie,Dream,37.0,16.9,185.0,4000.0,female,2007,4.0,light
46,Adelie,Dream,39.6,18.8,190.0,5600.0,male,2007,5.6,Heavy
47,Adelie,Dream,41.1,19.0,182.0,4425.0,male,2007,4.425,Heavy
48,Adelie,Dream,37.5,18.9,179.0,3975.0, ,2007,3.975,light
49,Adelie,Dream,36.0,17.9,190.0,4450.0,female,2007,4.45,Heavy
50,Adelie,Dream,42.3,21.2,191.0,5150.0,male,2007,5.15,Heavy
51,Adelie,Biscoe,39.6,17.7,186.0,4500.0,female,2008,4.5,Heavy
52,Adelie,Biscoe,40.1,18.9,188.0,5300.0,male,2008,5.3,Heavy
53,Adelie,Biscoe,35.0,17.9,190.0,4450.0,female,2008,4.45,Heavy
54,Adelie,Biscoe,42.0,19.5,200.0,5050.0,male,2008,5.05,Heavy
55,Adelie,Biscoe,34.5,18.1,187.0,3900.0,female,2008,3.9,light
56,Adelie,Biscoe,41.4,18.6,191.0,4700.0,male,2008,4.7,Heavy
