rowid,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
8,Adelie,Torgersen,39.2,19.6,195.0,4675.0,male,2007
10,Adelie,Torgersen,42.0,20.2,190.0,4250.0,,2007
15,Adelie,Torgersen,34.6,21.1,198.0,4400.0,male,2007
18,Adelie,Torgersen,42.5,20.7,197.0,4500.0,male,2007
20,Adelie,Torgersen,46.0,21.5,194.0,4200.0,male,2007
36,Adelie,Dream,39.2,21.1,196.0,4150.0,male,2007
40,Adelie,Dream,39.8,19.1,184.0,4650.0,male,2007
44,Adelie,Dream,44.1,19.7,196.0,4400.0,male,2007
46,Adelie,Dream,39.6,18.8,190.0,4600.0,male,2007
50,Adelie,Dream,42.3,21.2,191.0,4150.0,male,2007
52,Adelie,Biscoe,40.1,18.9,188.0,4300.0,male,2008
54,Adelie,Biscoe,42.0,19.5,200.0,4050.0,male,2008
62,Adelie,Biscoe,41.3,21.1,195.0,4400.0,male,2008
64,Adelie,Biscoe,41.1,18.2,192.0,4050.0,male,2008
68,Adelie,Biscoe,41.1,19.1,188.0,4100.0,male,2008
70,Adelie,Torgersen,41.8,19.4,198.0,4450.0,male,2008
74,Adelie,Torgersen,45.8,18.9,197.0,4150.0,male,2008
76,Adelie,Torgersen,42.8,18.5,195.0,4250.0,male,2008
82,Adelie,Torgersen,42.9,17.6,196.0,4700.0,male,2008
84,Adelie,Torgersen,35.1,19.4,193.0,4200.0,male,2008
92,Adelie,Dream,41.1,18.1,205.0,4300.0,male,2008
94,Adelie,Dream,39.6,18.1,186.0,4450.0,male,2008
96,Adelie,Dream,40.8,18.9,208.0,4300.0,male,2008
98,Adelie,Dream,40.3,18.5,196.0,4350.0,male,2008
100,Adelie,Dream,43.2,18.5,192.0,4100.0,male,2008
102,Adelie,Biscoe,41.0,20.0,203,4725,male,2009
104,Adelie,Biscoe,37.8,20.0,190,4250,male,2009
110,Adelie,Biscoe,43.2,19.0,197,4775,male,2009
112,Adelie,Biscoe,45.6,20.3,191,4600,male,2009
114,Adelie,Biscoe,42.2,19.5,197,4275,male,2009
116,Adelie,Biscoe,42.7,18.3,196,4075,male,2009
128,Adelie,Torgersen,41.5,18.3,195,4300,male,2009
134,Adelie,Dream,37.5,18.5,199,4475,male,2009
140,Adelie,Dream,39.7,17.9,193,4250,male,2009
147,Adelie,Dream,39.2,18.6,190,4250,male,2009
153,Gentoo,Biscoe,46.1,13.2,211,4500,female,2007
154,Gentoo,Biscoe,50.0,16.3,230,5700,male,2007
155,Gentoo,Biscoe,48.7,14.1,210,4450,female,2007
156,Gentoo,Biscoe,50.0,15.2,218,5700,male,2007
157,Gentoo,Biscoe,47.6,14.5,215,5400,male,2007
158,Gentoo,Biscoe,46.5,13.5,210,4550,female,2007
159,Gentoo,Biscoe,45.4,14.6,211,4800,female,2007
160,Gentoo,Biscoe,46.7,15.3,219,5200,male,2007
161,Gentoo,Biscoe,43.3,13.4,209,4400,female,2007
162,Gentoo,Biscoe,46.8,15.4,215,5150,male,2007
163,Gentoo,Biscoe,40.9,13.7,214,4650,female,2007
164,Gentoo,Biscoe,49.0,16.1,216,5550,male,2007
165,Gentoo,Biscoe,45.5,13.7,214,4650,female,2007
166,Gentoo,Biscoe,48.4,14.6,213,5850,male,2007
167,Gentoo,Biscoe,45.8,14.6,210,4200,female,2007
168,Gentoo,Biscoe,49.3,15.7,217,5850,male,2007
169,Gentoo,Biscoe,42.0,13.5,210,4150,female,2007
170,Gentoo,Biscoe,49.2,15.2,221,6300,male,2007
171,Gentoo,Biscoe,46.2,14.5,209,4800,female,2007
172,Gentoo,Biscoe,48.7,15.1,222,5350,male,2007
173,Gentoo,Biscoe,50.2,14.3,218,5700,male,2007
174,Gentoo,Biscoe,45.1,14.5,215,5000,female,2007
175,Gentoo,Biscoe,46.5,14.5,213,4400,female,2007
176,Gentoo,Biscoe,46.3,15.8,215,5050,male,2007
177,Gentoo,Biscoe,42.9,13.1,215,5000,female,2007
178,Gentoo,Biscoe,46.1,15.1,215,5100,male,2007
179,Gentoo,Biscoe,44.5,14.3,216,4100,,2007
180,Gentoo,Biscoe,47.8,15.0,215,5650,male,2007
181,Gentoo,Biscoe,48.2,14.3,210,4600,female,2007
182,Gentoo,Biscoe,50.0,15.3,220,5550,male,2007
183,Gentoo,Biscoe,47.3,15.3,222,5250,male,2007
184,Gentoo,Biscoe,42.8,14.2,209,4700,female,2007
185,Gentoo,Biscoe,45.1,14.5,207,5050,female,2007
186,Gentoo,Biscoe,59.6,17.0,230,6050,male,2007
187,Gentoo,Biscoe,49.1,14.8,220,5150,female,2008
188,Gentoo,Biscoe,48.4,16.3,220,5400,male,2008
189,Gentoo,Biscoe,42.6,13.7,213,4950,female,2008
190,Gentoo,Biscoe,44.4,17.3,219,5250,male,2008
191,Gentoo,Biscoe,44.0,13.6,208,4350,female,2008
192,Gentoo,Biscoe,48.7,15.7,208,5350,male,2008
194,Gentoo,Biscoe,49.6,16.0,225,5700,male,2008
195,Gentoo,Biscoe,45.3,13.7,210,4300,female,2008
196,Gentoo,Biscoe,49.6,15.0,216,4750,male,2008
197,Gentoo,Biscoe,50.5,15.9,222,5550,male,2008
198,Gentoo,Biscoe,43.6,13.9,217,4900,female,2008
199,Gentoo,Biscoe,45.5,13.9,210,4200,female,2008
200,Gentoo,Biscoe,50.5,15.9,225,5400,male,2008
201,Gentoo,Biscoe,44.9,13.3,213.0,5100.0,female,2008
202,Gentoo,Biscoe,45.2,15.8,215.0,5300.0,male,2008
203,Gentoo,Biscoe,46.6,14.2,210.0,4850.0,female,2008
204,Gentoo,Biscoe,48.5,14.1,220.0,5300.0,male,2008
205,Gentoo,Biscoe,45.1,14.4,210.0,4400.0,female,2008
206,Gentoo,Biscoe,50.1,15.0,225.0,5000.0,male,2008
207,Gentoo,Biscoe,46.5,14.4,217.0,4900.0,female,2008
208,Gentoo,Biscoe,45.0,15.4,220.0,5050.0,male,2008
209,Gentoo,Biscoe,43.8,13.9,208.0,4300.0,female,2008
